,Open,High,Low,Close,Adj Close,Volume,Date,Company
153,525.98999,552.0,524.190002,532.359985,532.359985,1062800.0,2022-02-10,ALGN
154,528.380005,534.469971,505.5,509.100006,509.100006,1162700.0,2022-02-11,ALGN
155,510.529999,514.549988,500.179993,505.670013,505.670013,550900.0,2022-02-14,ALGN
156,515.0,528.950012,513.380005,528.23999,528.23999,675000.0,2022-02-15,ALGN
157,526.169983,529.48999,514.22998,526.380005,526.380005,534900.0,2022-02-16,ALGN
158,521.01001,523.710022,501.059998,501.76001,501.76001,619300.0,2022-02-17,ALGN
159,504.029999,510.640015,494.73999,498.649994,498.649994,645800.0,2022-02-18,ALGN
160,492.559998,510.859985,490.01001,494.109985,494.109985,698400.0,2022-02-22,ALGN
161,496.329987,501.51001,481.25,482.660004,482.660004,631600.0,2022-02-23,ALGN
162,468.579987,511.5,464.01001,509.149994,509.149994,986100.0,2022-02-24,ALGN
163,506.209991,512.880005,497.220001,512.559998,512.559998,460400.0,2022-02-25,ALGN
164,503.940002,513.119995,499.309998,511.459991,511.459991,592600.0,2022-02-28,ALGN
165,508.730011,509.829987,490.929993,500.970001,500.970001,614900.0,2022-03-01,ALGN
166,505.170013,505.200012,481.820007,496.140015,496.140015,581400.0,2022-03-02,ALGN
167,501.220001,502.23999,475.369995,477.450012,477.450012,655900.0,2022-03-03,ALGN
168,474.779999,475.160004,452.980011,464.480011,464.480011,755700.0,2022-03-04,ALGN
169,464.0,468.799988,434.640015,435.570007,435.570007,1075900.0,2022-03-07,ALGN
170,430.0,433.0,411.799988,415.01001,415.01001,1154600.0,2022-03-08,ALGN
171,433.220001,444.839996,426.309998,442.049988,442.049988,694300.0,2022-03-09,ALGN
172,428.269989,434.809998,417.0,430.089996,430.089996,532600.0,2022-03-10,ALGN
173,438.160004,438.160004,400.0,400.670013,400.670013,957000.0,2022-03-11,ALGN
174,403.209991,403.209991,372.619995,378.089996,378.089996,2019600.0,2022-03-14,ALGN
175,381.089996,392.630005,375.0,390.730011,390.730011,1708600.0,2022-03-15,ALGN
